rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
rsi14c_s lo 30%,rsi14c_s,all,lo,0.3,-1.091022869991354,2428,-0.5982931744233316,-2624.819999999985,3,3,1.0
rsi14c_s hi 5%,rsi14c_s,all,hi,0.05,23.524058371565012,405,0.14168512096780328,233.66000000001077,2,1,1.0
rsi14c_s hi 10%,rsi14c_s,all,hi,0.1,19.80447852860054,810,-0.6496301637257801,-1660.724999999984,3,1,1.0
rsi14c_s hi 15%,rsi14c_s,all,hi,0.15,17.192673673644563,1214,-0.6372703864507655,-2046.5799999999726,3,1,1.0
rsi14c_s hi 20%,rsi14c_s,all,hi,0.2,15.220515924309343,1619,-0.6633875872799597,-2530.879999999979,3,1,1.0
rsi14c_s hi 25%,rsi14c_s,all,hi,0.25,13.397174906149079,2023,-1.2088540709046414,-5191.489999999976,2,1,1.0
rsi14c_s hi 30%,rsi14c_s,all,hi,0.3,11.72497548501842,2428,-1.4972289104195577,-7144.82999999998,2,1,1.0
clv_s lo 5%,clv_s,all,lo,0.05,-0.4538991387529414,405,-0.13942021061658283,-213.97499999999854,2,0,1.0
clv_s lo 10%,clv_s,all,lo,0.1,-0.4103436018597129,810,-0.25550867525317084,-594.3600000000006,2,0,1.0
clv_s lo 15%,clv_s,all,lo,0.15,-0.3580344279494404,1214,-1.542351683697509,-4392.739999999998,1,0,1.0
clv_s lo 20%,clv_s,all,lo,0.2,-0.30734018159331283,1619,-1.2450577129881943,-4069.604999999996,1,0,1.0
clv_s lo 25%,clv_s,all,lo,0.25,-0.2551845772533757,2023,-1.119248929482904,-4125.564999999995,2,0,1.0
clv_s lo 30%,clv_s,all,lo,0.3,-0.20083969062460172,2428,-1.1574813976105294,-4550.779999999992,1,0,1.0
clv_s hi 5%,clv_s,all,hi,0.05,0.4594866450780326,405,1.0393003441230213,1404.030000000006,5,2,1.0
clv_s hi 10%,clv_s,all,hi,0.1,0.4206169622376777,810,1.2644401160599454,2766.99000000002,5,2,1.0
