ground,bull_cut,bear_cut,is_n,is_pnl,is_full_win,is_profitable,is_yield_pct,is_weekly_sharpe,is_max_dd,is_calmar,oot_n,oot_pnl,oot_full_win,oot_profitable,oot_yield_pct,oot_weekly_sharpe,oot_max_dd,oot_calmar
0.005,0.05,0.45,4799.0,34450.63499999997,44.50927276515941,53.69868722650553,10.020453564779721,2.440695543561343,-20.212204745186725,2.192021865359576,443.0,3079.9099999999985,42.21218961625282,52.144469525959366,9.199863312322377,3.2050741704686967,-8.179622175516709,15.132287194079986
0.005,0.05,0.5,4579.0,35132.299999999974,44.81327800829876,53.985586372570424,10.558298473143985,2.4814952630927505,-20.289535486737307,2.2155017651695137,437.0,3107.6549999999984,42.5629290617849,52.17391304347826,9.375627901925107,3.236505449219311,-8.18814758830545,15.29081289189815
0.005,0.1,0.0,5412.0,38559.299999999974,44.43828529194383,53.62158167036216,9.950103556756945,2.6328547432263605,-15.148398154100096,3.097613906111233,542.0,3157.8099999999995,41.88191881918819,51.291512915129154,7.442969353061452,2.748188907649377,-8.58496718780517,14.88631031418366
0.005,0.1,0.05,5385.0,38869.004999999976,44.475394614670385,53.70473537604457,10.050353118512799,2.655710284096666,-15.345042401832742,3.0727510119735286,539.0,2968.4199999999996,41.55844155844156,51.02040816326531,7.030831804043765,2.5917834608374175,-8.97829559836042,13.154253946379919
0.005,0.1,0.1,5349.0,38447.729999999974,44.51299308281922,53.692278930641244,9.982791973984522,2.622955293247316,-15.319809272010298,3.061147444571099,532.0,2838.9300000000003,41.54135338345865,51.127819548872175,6.800425234679143,2.5068458227565396,-8.781278700159223,12.712785548010007
0.005,0.1,0.15000000000000002,5288.0,38628.69999999997,44.61043872919818,53.80105900151286,10.108011254470478,2.6310870054563393,-15.330876597488663,3.0676481310061585,526.0,2600.17,41.44486692015209,50.950570342205324,6.331155233672531,2.3060315031944283,-9.015234488605106,11.09740373316925
0.005,0.1,0.2,5210.0,37791.24499999997,44.702495201535505,53.85796545105567,10.018919200224426,2.578817093954334,-15.461270175975084,3.005097211487442,511.0,2718.189999999999,41.48727984344423,51.2720156555773,6.826892358634433,2.4801201219657605,-7.796223467208463,13.560375894106949
0.005,0.1,0.25,5166.0,37487.409999999974,44.73480449090205,53.89082462253194,10.00174382272942,2.5582552090418447,-16.192760178987832,2.85528343969279,494.0,3013.204999999996,42.10526315789473,52.0242914979757,7.817870285111009,2.7818738680002277,-7.639303867693359,15.756694047765459
0.005,0.1,0.30000000000000004,5072.0,36621.049999999974,44.75552050473186,53.90378548895899,9.963523449250058,2.5216842994693573,-16.8634453055058,2.706003052160101,488.0,3041.9249999999956,42.00819672131148,52.04918032786885,8.021613533813557,2.821001502965486,-7.782208115892986,15.655255951368018
0.005,0.1,0.35000000000000003,4991.0,36683.48499999998,44.86074934882789,53.99719495091164,10.142142951204304,2.541309071300377,-18.864884213433108,2.424255914139469,469.0,3029.839999999995,42.217484008528785,52.45202558635395,8.364956655916794,2.9563011798449508,-6.3179418119258095,19.186052503373887
0.005,0.1,0.4,4873.0,35287.754999999976,44.71578083316232,53.806689924071414,9.991043729296775,2.4749411492450997,-20.166681168357105,2.2194989477301945,458.0,2993.024999999996,42.35807860262008,52.40174672489083,8.489071369151251,2.950235337667524,-6.483796955910814,18.40689306205122
0.005,0.1,0.45,4745.0,35381.20999999998,44.82613277133825,53.9304531085353,10.230742190094505,2.4855744495329013,-20.770182440194173,2.1686153397849752,437.0,2667.759999999996,42.33409610983982,52.17391304347826,7.885075619889783,2.684139690383699,-9.445132737659845,10.934971780562083
0.005,0.1,0.5,4525.0,36062.87499999998,45.14917127071823,54.232044198895025,10.772272743552312,2.5251318806914806,-20.849390066180817,2.191050952261859,431.0,2695.504999999996,42.69141531322506,52.204176334106734,8.045959341936955,2.7155501546713405,-9.289078237869585,11.262783532228843
